study_id,year,location_year_name,cluster_id,mda,pcr_n_pos,pcr_n_tested,pcr_prev,pcr_n_pos_1to5y,pcr_n_tested_1to5y,pcr_prev_1to5y,tf_n_pos,tf_n_tested,tf_prev,tf_n_pos_1to5y,tf_n_tested_1to5y,tf_prev_1to5y,ti_n_pos,ti_n_tested,ti_prev,ti_n_pos_1to5y,ti_n_tested_1to5y,ti_prev_1to5y,pgp3_n_pos,pgp3_n_tested,pgp3_mean,pgp3_log10mean,pgp3_log10geomean,pgp3_prev,pgp3_n_pos_1to5y,pgp3_n_tested_1to5y,pgp3_mean_1to5y,pgp3_log10mean_1to5y,pgp3_log10geomean_1to5y,pgp3_prev_1to5y,pgp3_minobs,pgp3_minobs_lab
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-18,0,0,0,NA,0,0,NA,0,0,7.1752091,0,0,NA,0,0,0,0,0,NA,0,28,8.035714285714286,0.501657984396523,3.174373203556624,0,0,15,12.133333333333333,0.5561012271686175,3.598331968037742,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-19,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,28,21,0.7747870711732869,5.953701698584317,0,0,8,42.375,0.9137931109440904,8.19960838612814,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-20,0,0,0,NA,0,0,NA,0,0,1.0304492,0,0,NA,0,0,0,0,0,NA,0,41,6.951219512195122,0.5491561496489132,3.5412464295188015,0,0,19,5.2105263157894735,0.5066712703163164,3.211228949158763,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-21,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,20,1.4,0.21583624920952496,1.6437518295172258,0,0,8,2,0.24778390412994605,1.7692284081334932,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Alefa, Ethiopia 2017",TCC-Ethiopia2017-cluster-22,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,42,685.047619047619,0.7438625620157718,5.544502224025487,4.761904761904762,1,12,1299.9166666666667,0.7464925693968294,5.578180580178871,8.333333333333332,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-35,1,0,0,NA,0,0,NA,0,0,11.9967632,0,0,NA,0,0,0,0,0,NA,3,18,2174.9444444444443,1.1468166640467201,14.022216364583768,16.666666666666664,0,8,21.375,0.6198085397958679,4.166856456839916,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-36,1,0,0,NA,0,0,NA,0,0,28.7616611,0,0,NA,0,0,6.478968,0,0,NA,8,20,6098.55,2.142525342449201,138.84343270758723,40,2,9,4735.888888888889,1.2444794200633895,17.558176891978857,22.22222222222222,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-37,1,0,0,NA,0,0,NA,0,0,43.087846899999995,0,0,NA,0,0,2.4343690000000002,0,0,NA,8,30,2733.9,1.462343362985915,28.996351984914327,26.666666666666668,3,17,1786.3529411764705,0.9755881201978167,9.453401865273678,17.647058823529413,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-38,1,0,0,NA,0,0,NA,0,0,23.028295200000002,0,0,NA,0,0,0,0,0,NA,4,20,1219.9,1.2977952188393882,19.851586426268412,20,0,12,6.416666666666667,0.7185549920506322,5.230641944047322,0,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-39,1,0,0,NA,0,0,NA,0,0,13.160284299999999,0,0,NA,0,0,2.4343690000000002,0,0,NA,8,35,4593.914285714286,1.4530459949747214,28.382196008220525,22.857142857142858,1,17,172.05882352941177,0.7339559064938728,5.419458643595911,5.88235294117647,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-40,1,0,0,NA,0,0,NA,0,0,28.7342766,0,0,NA,0,0,0,0,0,NA,1,11,304.8181818181818,0.9389590072531644,8.688784126010777,9.090909090909092,1,7,476.2857142857143,1.0924725489156029,12.372929800825984,14.285714285714285,FALSE,Pgp3 obs <15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-41,1,0,0,NA,0,0,NA,0,0,33.8592581,0,0,NA,0,0,0,0,0,NA,16,32,9552.15625,2.753767766777847,567.2411995760453,50,8,16,9386.5625,2.381405127671757,240.66067345102388,50,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-42,1,0,0,NA,0,0,NA,0,0,58.820281900000005,0,0,NA,0,0,11.6563886,0,0,NA,8,22,5459.181818181818,2.1009752833640736,126.17557233068555,36.36363636363637,3,15,2856.9333333333334,1.444779142109836,27.84704663396012,20,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-43,1,0,0,NA,0,0,NA,0,0,14.0016563,0,0,NA,0,0,0,0,0,NA,14,34,8073.588235294118,2.1959253952984414,157.00930648111063,41.17647058823529,6,19,5221.631578947368,1.812847447427564,64.99013624600798,31.57894736842105,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-44,1,0,0,NA,0,0,NA,0,0,37.5085451,0,0,NA,0,0,5.7737244,0,0,NA,12,30,7036.466666666666,2.194744993778424,156.58313853941033,40,1,13,155.30769230769232,0.9295687191786123,8.502932259339683,7.6923076923076925,TRUE,Pgp3 obs ≥15
TCC-Ethiopia2017,2017,"Andabet, Ethiopia 2017",TCC-Ethiopia2017-cluster-45,1,0,0,NA,0,0,NA,0,0,44.7613681,0,0,NA,0,0,4.6370214,0,0,NA,3,19,1992.0526315789473,1.381123548015339,24.050468899999046,15.789473684210526,0,7,93.85714285714286,0.8858201557478751,7.688120041605414,0,TRUE,Pgp3 obs ≥15
